Name,Age,Season,Placement,DaysIn,VotesAgainst,Immunities,IndImmunities,Challenges,VFB_NIF3,TCA_NIF3,TCTotal,TC_Prop,TC_Pct,TC_Score_Prop,TC_Score,Idols,Merge,Jury,Final_Tribal,RunnerUp,Winner,JuryVotes,Prop_Jury_Vote,Pct_Jury_Vote,Job,JobFixed,AppStatus,Applicant,Recruit,Collar,BlueCollar,WhiteCollar,Strength,Generation,Gender,AgeGroup
Gillian Larson,61,17,17,6,8,0,0,0,1,2,15,0.5,50,0.066666667,6.6666667,0,0,0,0,0,0,.,.,.,Nurse,25,1,1,0,3,1,0,1,2,0,6
Paloma Soto Castillo,23,17,16,9,7,2,0,3,0,1,15,0,0,0,0,0,0,0,0,0,0,.,.,.,Student,41,0,0,1,2,0,0,2,4,0,2
Jacquie Berg,25,17,15,12,5,2,0,3,1,2,15,0.5,50,0.066666667,6.6666667,0,0,0,0,0,0,.,.,.,MedicalSales,33,1,1,0,1,0,1,2,4,0,2
GC Brown,25,17,14,15,6,2,1,3,3,4,15,0.75,75,0.2,20,0,0,0,0,0,0,.,.,.,MaintenenceSuperviso,12,1,1,0,3,1,0,3,4,1,2
Kelly Czarnecki,22,17,13,18,8,2,0,3,2,4,15,0.5,50,0.133333333,13.3333333,0,0,0,0,0,0,.,.,.,RetailSalesManager,33,0,0,1,1,0,1,2,4,0,2
Ace Gordon,27,17,12,21,5,2,0,3,3,5,15,0.6,60,0.2,20,0,0,0,0,0,0,.,.,.,FashionPhotographer,4,1,1,0,2,0,0,3,3,1,2
Dan Kay,32,17,11,21,4,4,0,8,2,3,15,0.666666667,66.6666667,0.133333333,13.3333333,0,0,0,0,0,0,.,.,.,Attorney,18,0,0,1,1,0,1,1,3,1,3
Marcus Lehman,28,17,10,24,3,7,2,11,1,3,15,0.333333333,33.3333333,0.066666667,6.6666667,1,0,1,0,0,0,.,.,.,ResidentPhysician,40,0,0,1,1,0,1,1,3,1,2
Charlie Herschel,29,17,9,27,5,6,0,11,2,3,15,0.666666667,66.6666667,0.133333333,13.3333333,1,1,1,0,0,0,.,.,.,Lawyer,18,0,0,1,1,0,1,1,3,1,2
Randy Bailey,49,17,8,30,5,5,0,10,2,5,15,0.4,40,0.133333333,13.3333333,1,1,1,0,0,0,.,.,.,WeddingVideographer,4,1,1,0,2,0,0,1,2,1,4
Corinne Kaplan,29,17,7,33,4,6,0,11,2,5,15,0.4,40,0.133333333,13.3333333,1,1,1,0,0,0,.,.,.,SalesRepresentative,33,0,0,1,1,0,1,2,3,0,2
Crystal Cox,29,17,6,36,11,1,0,2,10,11,15,0.909090909,90.9090909,0.666666667,66.6666667,1,1,1,0,0,0,.,.,.,OlympicChampion,36,1,1,0,2,0,0,3,3,0,2
Ken Hoang,22,17,5,37,7,2,1,3,9,12,15,0.75,75,0.6,60,1,1,1,0,0,0,.,.,.,ProfessionalGamer,19,1,1,0,2,0,0,1,4,1,2
Matty Whitmore,29,17,4,38,7,2,0,4,10,12,15,0.833333333,83.3333333,0.666666667,66.6666667,1,1,1,0,0,0,.,.,.,ProfessionalTrainer,13,0,0,1,2,0,0,3,3,1,2
Sugar Kiper,29,17,3,39,0,4,1,5,10,10,15,1,100,0.666666667,66.6666667,2,1,0,1,1,0,0,0,0,PinUpModel,19,0,0,1,2,0,0,2,3,0,2
Susie Smith,47,17,2,39,7,6,2,10,9,10,15,0.9,90,0.6,60,1,1,0,1,1,0,3,0.428571429,42.8571429,Hairdresser,37,1,1,0,2,0,0,3,2,0,4
Bob Crowley,57,17,1,39,2,8,3,14,5,9,15,0.555555556,55.5555556,0.333333333,33.3333333,1,1,0,1,0,1,4,0.571428571,57.1428571,PhysicsTeacher,10,0,0,1,1,0,1,1,2,1,5
Carolina Eastwood,26,18,16,3,7,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,.,.,.,Bartender,15,0,0,1,2,0,0,2,4,0,2
Candace Smith,31,18,15,6,7,1,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,.,.,.,Attorney,18,0,0,1,1,0,1,1,3,0,3
Jerry Sims,49,18,14,9,6,1,0,1,1,2,12,0.5,50,0.083333333,8.3333333,0,0,0,0,0,0,.,.,.,SgtUSArmy,26,0,0,1,3,1,0,3,2,1,4
Sandy Burgin,53,18,13,12,6,2,0,4,1,2,12,0.5,50,0.083333333,8.3333333,0,0,0,0,0,0,.,.,.,BusDriver,39,1,1,0,3,1,0,1,2,0,5
Spencer Duhm,18,18,12,15,5,2,0,5,2,3,12,0.666666667,66.6666667,0.166666667,16.6666667,0,0,0,0,0,0,.,.,.,Student,41,1,1,0,2,0,0,1,4,1,1
Sydney Wheeler,24,18,11,18,4,2,0,5,3,4,12,0.75,75,0.25,25,0,0,0,0,0,0,.,.,.,Model,19,0,0,1,2,0,0,2,4,0,2
Joe Dowdle,26,18,10,20,1,2,0,5,3,4,12,0.75,75,0.25,25,0,1,0,0,0,0,.,.,.,RealEstateSales,33,0,0,1,1,0,1,1,4,1,2
